"City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date"
"celestun,20.87,-90.4,89.564,89.564,54,100,2.82,MX,1595704420"
"sinnamary,5.38,-52.95,83.30000000000001,83.30000000000001,81,47,4.26,GF,1595704315"
"avarua,-21.21,-159.78,71.6,71.6,73,98,4.1,CK,1595704200"
"zhanaozen,43.3,52.8,83.19200000000001,83.19200000000001,30,37,4.02,KZ,1595704233"
"okhotsk,59.38,143.3,55.508,55.508,82,0,3.64,RU,1595704200"
"san jose,37.34,-121.89,78.76400000000001,80.99600000000001,34,0,0.45,US,1595704200"
"zhigansk,66.77,123.37,52.808,52.808,90,0,5.32,RU,1595704222"
"leshukonskoye,64.9,45.76,62.546,62.546,86,40,1.97,RU,1595704542"
"cheyenne,41.14,-104.82,80.294,80.99600000000001,22,90,5.7,US,1595704499"
"mazagao,-0.12,-51.29,82.4,82.4,100,75,6.2,BR,1595704542"
"bandarbeyla,9.49,50.81,78.02600000000001,78.02600000000001,75,98,13.12,SO,1595704277"
"gilbues,-9.83,-45.34,89.33000000000001,89.33000000000001,20,0,3.97,BR,1595704543"
"inhambane,-23.86,35.38,64.202,64.4,77,20,4.13,MZ,1595704413"
"beatrice,40.27,-96.75,88.46600000000001,89.99600000000001,66,1,7.2,US,1595704543"
"butaritari,3.07,172.79,83.21000000000001,83.21000000000001,74,0,6.78,KI,1595704229"
"russkaya polyana,49.42,31.92,70.394,70.394,57,36,3.26,UA,1595704543"
"nome,64.5,-165.41,54.212,55.004,71,40,1.5,US,1595704543"
"salalah,17.02,54.09,80.6,80.6,88,75,3.6,OM,1595704027"
"torbay,47.67,-52.73,65.048,68.0,82,40,5.1,CA,1595704216"
"bilma,18.69,12.92,92.318,92.318,13,0,1.87,NE,1595704203"
"matara,5.95,80.54,78.908,78.908,83,100,5.53,LK,1595704382"
"padang,-0.95,100.35,77.108,77.108,81,92,1.79,ID,1595704244"
"gazalkent,41.56,69.77,80.6,80.6,42,0,3.1,UZ,1595704544"
"bende,5.56,7.64,73.904,73.904,93,100,2.34,NG,1595704544"
"ushtobe,45.25,77.98,77.378,77.378,25,0,4.15,KZ,1595704320"
"camacha,33.08,-16.33,71.6,71.6,73,75,6.2,PT,1595704217"
"slave lake,55.28,-114.77,62.6,62.6,77,75,6.7,CA,1595704545"
"hay river,60.82,-115.8,69.80000000000001,69.80000000000001,43,40,2.6,CA,1595704339"
"chuy,-33.7,-53.46,51.674,51.674,63,0,5.83,UY,1595704256"
"havelock,34.88,-76.9,89.456,93.2,52,5,3.1,US,1595704287"
"ilebo,-4.32,20.58,79.25,79.25,46,0,0.82,CD,1595704545"
"north bend,43.41,-124.22,63.842,66.00200000000001,67,1,10.3,US,1595704357"
"prince rupert,54.32,-130.32,60.8,60.8,72,90,4.1,CA,1595704278"
"santa marta,11.24,-74.2,86.0,86.0,79,75,2.1,CO,1595704254"
"provideniya,64.38,-173.3,52.808,52.808,63,41,3.38,RU,1595704196"
"nago,26.59,127.98,80.384,80.6,94,90,3.1,JP,1595704546"
"berlevag,70.86,29.09,60.152,60.152,69,11,6.37,NO,1595704263"
"san cristobal,7.77,-72.22,91.4,91.4,43,40,4.1,VE,1595704202"
"barentu,15.11,37.59,74.516,74.516,80,0,3.02,ER,1595704546"
"paracuru,-3.41,-39.03,80.99600000000001,80.99600000000001,72,99,5.81,BR,1595704547"
"manta,-0.95,-80.73,80.6,80.6,74,20,4.6,EC,1595704045"
"cidreira,-30.18,-50.21,56.318,56.318,60,56,6.12,BR,1595704241"
"vidalia,32.22,-82.41,91.4,91.4,41,1,2.6,US,1595704547"
"sola,-13.88,167.55,80.168,80.168,81,100,12.26,VU,1595704257"
"puerto del rosario,28.5,-13.86,80.6,80.6,61,0,8.2,ES,1595704547"
"jieshou,33.26,115.36,73.634,73.634,90,100,1.41,CN,1595704548"
"narsaq,60.92,-46.05,51.8,51.8,76,75,5.1,GL,1595704201"
"katherine,-14.47,132.27,59.0,59.0,51,0,2.6,AU,1595704209"
"port-gentil,-0.72,8.78,77.0,77.0,78,75,4.99,GA,1595704481"
"monrovia,6.3,-10.8,76.60400000000001,76.60400000000001,82,100,4.65,LR,1595704548"
"kjollefjord,70.95,27.35,62.654,62.654,60,5,4.61,NO,1595704548"
"hammelburg,50.12,9.9,71.312,73.994,49,100,1.9,DE,1595704548"
"nacozari,25.34,-108.26,95.324,96.00800000000001,53,2,1.34,MX,1595704549"
"darnah,32.77,22.64,77.684,77.684,81,0,7.97,LY,1595704213"
"kruisfontein,-34.0,24.73,64.382,64.382,30,0,4.21,ZA,1595704198"
"imeni babushkina,59.76,43.13,54.212,54.212,92,5,1.72,RU,1595704549"
"dwarka,22.24,68.97,84.77600000000001,84.77600000000001,81,100,5.64,IN,1595704549"
"borzya,50.38,116.52,67.262,67.262,75,100,2.93,RU,1595704549"
"viedma,-40.81,-63.0,51.998000000000005,51.998000000000005,51,100,5.81,AR,1595704550"
"port keats,-14.25,129.55,70.43,70.43,36,0,6.55,AU,1595704263"
"sao filipe,14.9,-24.5,80.312,80.312,80,12,1.2,CV,1595704215"
"borba,-4.39,-59.59,87.458,87.458,52,98,0.89,BR,1595704550"
"todos santos,23.45,-110.22,74.03,75.00200000000001,79,1,2.68,MX,1595704551"
"huancavelica,-12.77,-74.98,49.676,49.676,47,96,3.23,PE,1595704551"
"novooleksiyivka,46.23,34.64,73.886,73.886,47,0,4.73,UA,1595704551"
"abbeyfeale,52.38,-9.3,60.53,60.8,82,75,6.7,IE,1595704551"
"sonoita,31.85,-112.83,98.006,98.006,19,0,1.34,MX,1595704551"
"vila franca do campo,37.72,-25.43,73.4,73.4,69,20,5.1,PT,1595704238"
"santiago del estero,-27.8,-64.26,69.368,69.368,21,0,5.86,AR,1595704552"
"torbat-e jam,35.24,60.62,81.608,81.608,21,0,6.32,IR,1595704552"
"sambava,-14.27,50.17,70.952,70.952,73,100,8.35,MG,1595704243"
"ciudad bolivar,8.12,-63.55,89.816,89.816,53,61,1.35,VE,1595704552"
"tibati,6.47,12.63,69.134,69.134,93,100,1.14,CM,1595704321"
"englewood,39.65,-104.99,84.614,87.99799999999999,35,94,0.89,US,1595704553"
"teguldet,57.31,88.17,53.096000000000004,53.096000000000004,96,77,1.51,RU,1595704553"
"neuquen,-38.95,-68.06,59.0,59.0,36,100,8.2,AR,1595704553"
"fortuna,40.6,-124.16,65.93,68.0,72,20,5.1,US,1595704067"
"matagami,49.75,-77.63,66.2,66.2,100,90,2.6,CA,1595704553"
"alofi,-19.06,-169.92,71.6,71.6,83,18,4.6,NU,1595704221"
"rongcheng,30.63,117.85,72.10400000000001,72.10400000000001,91,100,0.95,CN,1595704554"
"flinders,-34.58,150.86,55.562,55.994,93,100,0.45,AU,1595704219"
"yerbogachen,61.28,108.01,50.162,50.162,93,100,2.89,RU,1595704249"
"fallon,39.47,-118.78,86.0,87.99799999999999,23,1,1.5,US,1595704554"
"luderitz,-26.65,15.16,73.4,73.4,27,0,2.1,NA,1595704204"
"mareeba,-17.0,145.43,60.476,62.006,96,25,0.75,AU,1595704554"
"puerto madero,14.72,-92.42,89.6,89.6,66,20,2.6,MX,1595704228"
"chhuikhadan,21.53,80.98,79.394,79.394,75,12,2.0,IN,1595704555"
"gorontalo,0.54,123.06,73.958,73.958,89,43,0.98,ID,1595704118"
"ancud,-41.87,-73.82,51.872,53.996,87,90,5.1,CL,1595704203"
"imaculada,-7.39,-37.51,79.322,79.322,46,100,5.13,BR,1595704555"
"san rafael del sur,11.85,-86.44,89.6,89.6,62,40,7.2,NI,1595704555"
"mossendjo,-2.95,12.73,74.49799999999999,74.49799999999999,66,93,1.24,CG,1595704556"
"coquimbo,-29.95,-71.34,66.2,66.2,34,98,3.1,CL,1595704556"
"malanje,-9.54,16.34,66.434,66.434,25,0,1.18,AO,1595704556"
"asau,46.43,26.4,64.004,64.004,87,100,0.92,RO,1595704313"
"iqaluit,63.75,-68.51,46.202,46.4,87,75,1.5,CA,1595704216"
"cockburn town,21.46,-71.14,87.80000000000001,87.80000000000001,70,40,7.2,TC,1595704556"
"ambilobe,-13.2,49.05,72.93199999999999,72.93199999999999,52,100,2.99,MG,1595704557"
"ahipara,-35.17,173.17,50.414,50.414,80,30,2.68,NZ,1595704259"
"wilmington,34.23,-77.94,87.926,89.6,55,40,2.6,US,1595704292"
"igualada,41.58,1.62,80.50999999999999,82.004,48,0,0.89,ES,1595704557"
"tuatapere,-46.13,167.68,45.41,45.41,84,100,2.75,NZ,1595704211"
"caravelas,-17.71,-39.25,76.136,76.136,72,0,3.18,BR,1595704197"
"bambous virieux,-20.34,57.76,68.0,68.0,56,75,7.2,MU,1595704193"
"dingle,11.0,122.67,76.766,76.766,86,61,0.84,PH,1595704256"
"witu,-2.39,40.44,76.154,76.154,76,5,7.95,KE,1595704558"
"phonhong,18.5,102.42,78.80000000000001,78.80000000000001,100,20,1.0,LA,1595704558"
"bay city,43.59,-83.89,84.77600000000001,86.0,42,1,4.1,US,1595704340"
"coahuayana,18.73,-103.68,80.6,80.6,78,75,2.84,MX,1595704352"
"kholm,59.27,32.85,56.444,56.444,96,96,2.88,RU,1595704559"
"simplicio mendes,-7.85,-41.91,86.702,86.702,36,89,5.05,BR,1595704559"
"seymchan,62.88,152.43,66.416,66.416,49,39,3.39,RU,1595704235"
"iwanai,42.97,140.51,65.39,65.39,85,100,2.16,JP,1595704559"
"hamilton,39.18,-84.53,89.708,91.994,49,40,2.6,US,1595704150"
"srikakulam,18.3,83.9,81.80600000000001,81.80600000000001,85,31,2.8,IN,1595704559"
"dire dawa,9.59,41.87,71.762,71.762,64,47,7.32,ET,1595704478"
"komsomolsk,49.01,33.65,72.428,72.428,45,100,1.53,UA,1595704560"
"sitka,57.05,-135.33,57.2,57.2,87,90,2.1,US,1595704219"
"marsh harbour,26.54,-77.06,84.938,84.938,69,19,10.33,BS,1595704398"
"daru,-9.08,143.21,77.34200000000001,77.34200000000001,88,73,7.1,PG,1595704239"
"adrar,20.5,-10.07,106.50200000000001,106.50200000000001,7,0,2.89,MR,1595704268"
"palana,59.12,159.97,49.586,49.586,82,0,4.07,RU,1595704561"
"birao,10.28,22.79,76.154,76.154,84,0,3.89,CF,1595704561"
"champerico,14.3,-91.92,89.6,89.6,62,40,3.1,GT,1595704192"
"hambantota,6.12,81.12,77.0,77.0,100,40,3.6,LK,1595704224"
"alice springs,-23.7,133.88,41.0,41.0,65,0,2.6,AU,1595704203"
"jipapad,12.29,125.24,76.172,76.172,93,71,0.36,PH,1595704561"
"san patricio,19.22,-104.7,89.6,89.6,75,40,5.1,MX,1595704228"
"la quinta,33.66,-116.31,96.854,98.60000000000001,23,1,3.69,US,1595704491"
"uvalde,29.37,-99.77,92.75,95.0,46,75,6.2,US,1595704562"
"aksu,41.12,80.26,82.45400000000001,82.45400000000001,25,50,1.86,CN,1595704399"
"santa cruz,-17.8,-63.17,59.684,60.8,47,75,5.7,BO,1595703938"
"port hardy,50.7,-127.42,57.2,57.2,87,40,2.6,CA,1595704238"
"guiratinga,-16.35,-53.76,91.184,91.184,20,0,1.98,BR,1595704562"
"hukuntsi,-24.0,21.75,53.51,53.51,43,0,3.51,BW,1595704460"
"half moon bay,37.46,-122.43,70.88,73.994,64,5,2.6,US,1595704242"
"saint-joseph,-21.37,55.62,57.362,66.2,55,90,7.2,RE,1595704278"
"guerrero negro,27.98,-114.06,76.532,76.532,53,3,6.44,MX,1595704218"
"oktyabrskoye,43.06,44.74,77.0,77.0,61,0,5.0,RU,1595704285"
"husavik,66.04,-17.34,48.2,48.2,81,90,7.2,IS,1595704303"
"airai,-8.93,125.41,53.312,53.312,100,94,1.55,TL,1595704217"
"kingman,35.19,-114.05,92.12,96.998,21,1,5.7,US,1595704563"
"bay roberts,47.6,-53.26,73.094,75.992,66,23,5.01,CA,1595704564"
"pacific grove,36.62,-121.92,66.77600000000001,71.99600000000001,68,1,4.6,US,1595704164"
"ranong,9.97,98.63,78.512,78.512,85,91,1.15,TH,1595704564"
